It 's a charming and often affecting journey .	1
Unflinchingly bleak and desperate	0
Allows us to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker .	1
The acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .	1
It 's slow -- very , very slow .	0
Although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .	1
A sometimes tedious film .	0
Or doing last year 's taxes with your ex-wife .	0
You do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	1
In exactly 89 minutes , most of which passed as slowly as if I 'd been sitting naked on an igloo , Formula 51 sank from quirky to jerky to utter turkey .	0
The mesmerizing performances of the leads keep the film grounded and keep the audience riveted .	1
It takes a strange kind of laziness to waste the talents of Robert Forster , Anne Meara , Eugene Levy , and Reginald VelJohnson all in the same movie .	0
... the film suffers from a lack of humor -LRB- something needed to balance out the violence -RRB- ...	0
We root for -LRB- Clara and Paul -RRB- , even like them , though perhaps it 's an emotion closer to pity .	1
Even horror fans will most likely not find what they 're seeking with Trouble Every Day ; the movie lacks both thrills and humor .	0
A gorgeous , high-spirited musical from India that exquisitely blends music , dance , song , and high drama .	1
The emotions are raw and will strike a nerve with anyone who 's ever had family trauma .	1
Audrey Tatou has a knack for picking roles that magnify her outrageous charm , and in this literate French comedy , she 's as morning-glory exuberant as she was in Amélie .	1
... the movie is just a plain old monster .	0
In its best moments , resembles a bad high school production of Grease , without benefit of song .	0
Pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .	0
The Iditarod lasts for days - this just felt like it did .	0
Holden Caulfield did it better .	0
A delectable and intriguing thriller filled with surprises , Read My Lips is an original .	1
Seldom has a movie so closely matched the spirit of a man and his work .	1
Nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .	0
The action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .	0
It 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .	1
It 's a cookie-cutter movie , a cut-and-paste job .	0
I had to look away - this was god awful .	0
Thanks to Scott 's charismatic Roger and Eisenberg 's sweet nephew , Roger Dodger is one of the most compelling variations on In the Company of Men .	1
... Designed to provide a mix of smiles and tears , `` Crossroads '' instead provokes a handful of unintentional howlers and numerous yawns .	0
A gorgeous , witty , seductive movie .	1
If the movie succeeds in instilling a wary sense of ` there but for the grace of God , ' it is far too self-conscious to draw you deeply into its world .	0
